huc	basin
01	New England
0101	St. John
010100	St. John
01010001	Upper St. John
01010002	Allagash
01010003	Fish
01010004	Aroostook
01010005	Meduxnekeag
0102	Penobscot
010200	Penobscot
01020001	West Branch Penobscot
01020002	East Branch Penobscot
01020003	Mattawamkeag
01020004	Piscataquis
01020005	Lower Penobscot
0103	Kennebec
010300	Kennebec
01030001	Upper Kennebec
01030002	Dead
01030003	Lower Kennebec
0104	Androscoggin
010400	Androscoggin
01040001	Upper Androscoggin
01040002	Lower Androscoggin
0105	Maine Coastal
010500	Maine Coastal
01050001	St. Croix
01050002	Maine Coastal
01050003	St. George-Sheepscot
0106	Saco
010600	Saco
01060001	Presumpscot
01060002	Saco
01060003	Piscataqua-Salmon Falls
0107	Merrimack
010700	Merrimack
01070001	Pemigewasset
01070002	Merrimack
01070003	Contoocook
01070004	Nashua
01070005	Concord
0108	Connecticut
010801	Upper Connecticut
01080101	Upper Connecticut
01080102	Passumpsic
01080103	Waits
01080104	Upper Connecticut-Mascoma
01080105	White
01080106	Black-Ottauquechee
01080107	West
010802	Lower Connecticut
01080201	Middle Connecticut
01080202	Miller
01080203	Deerfield
01080204	Chicopee
01080205	Lower Connecticut
01080206	Westfield
01080207	Farmington
0109	Massachusetts-Rhode Island Coastal
010900	Massachusetts-Rhode Island Coastal
01090001	Charles
01090002	Cape Cod
01090003	Blackstone
01090004	Narragansett
01090005	Pawcatuck-Wood
0110	Connecticut Coastal
011000	Connecticut Coastal
01100001	Quinebaug
01100002	Shetucket
01100003	Thames
01100004	Quinnipiac
01100005	Housatonic
01100006	Saugatuck
01100007	Long Island Sound
0111	St. Francois
011100	St. Francois
01110000	St. Francois
02	Mid Atlantic
0201	Richelieu
020100	Richelieu
02010001	Lake George
02010002	Otter
02010003	Winooski
02010004	Ausable
02010005	Lamoille
02010006	Great Chazy-Saranac
02010007	Missisquoi
0202	Upper Hudson
020200	Upper Hudson
02020001	Upper Hudson
02020002	Sacandaga
02020003	Hudson-Hoosic
02020004	Mohawk
02020005	Schoharie
02020006	Middle Hudson
02020007	Rondout
02020008	Hudson-Wappinger
0203	Lower Hudson-Long Island
020301	Lower Hudson
02030101	Lower Hudson
02030102	Bronx
02030103	Hackensack-Passaic
02030104	Sandy Hook-Staten Island
02030105	Raritan
020302	Long Island
02030201	Northern Long Island
02030202	Southern Long Island
0204	Delaware
020401	Upper Delaware
02040101	Upper Delaware
02040102	East Branch Delaware
02040103	Lackawaxen
02040104	Middle Delaware-Mongaup-Brodhead
02040105	Middle Delaware-Musconetcong
02040106	Lehigh
020402	Lower Delaware
02040201	Crosswicks-Neshaminy
02040202	Lower Delaware
02040203	Schuylkill
02040204	Delaware Bay
02040205	Brandywine-Christina
02040206	Cohansey-Maurice
02040207	Broadkill-Smyrna
020403	New Jersey Coastal
02040301	Mullica-Toms
02040302	Great Egg Harbor
0205	Susquehanna
020501	Upper Susquehanna
02050101	Upper Susquehanna
02050102	Chenango
02050103	Owego-Wappasening
02050104	Tioga
02050105	Chemung
02050106	Upper Susquehanna-Tunkhannock
02050107	Upper Susquehanna-Lackawanna
020502	West Branch Susquehanna
02050201	Upper West Branch Susquehanna
02050202	Sinnemahoning
02050203	Middle West Branch Susquehanna
02050204	Bald Eagle
02050205	Pine
02050206	Lower West Branch Susquehanna
020503	Lower Susquehanna
02050301	Lower Susquehanna-Penns
02050302	Upper Juniata
02050303	Raystown
02050304	Lower Juniata
02050305	Lower Susquehanna-Swatara
02050306	Lower Susquehanna
0206	Upper Chesapeake
020600	Upper Chesapeake
02060001	Upper Chesapeake Bay
02060002	Chester-Sassafras
02060003	Gunpowder-Patapsco
02060004	Severn
02060005	Choptank
02060006	Patuxent
02060007	Blackwater-Wicomico
02060008	Nanticoke
02060009	Pocomoke
02060010	Chincoteague
0207	Potomac
020700	Potomac
02070001	South Branch Potomac
02070002	North Branch Potomac
02070003	Cacapon-Town
02070004	Conococheague-Opequon
02070005	South Fork Shenandoah
02070006	North Fork Shenandoah
02070007	Shenandoah
02070008	Middle Potomac-Catoctin
02070009	Monocacy
02070010	Middle Potomac-Anacostia-Occoquan
02070011	Lower Potomac
0208	Lower Chesapeake
020801	Lower Chesapeake
02080101	Lower Chesapeake Bay
02080102	Great Wicomico-Piankatank
02080103	Rapidan-Upper Rappahannock
02080104	Lower Rappahannock
02080105	Mattaponi
02080106	Pamunkey
02080107	York
02080108	Lynnhaven-Poquoson
02080109	Western Lower Delmarva
02080110	Eastern Lower Delmarva
020802	James
02080201	Upper James
02080202	Maury
02080203	Middle James-Buffalo
02080204	Rivanna
02080205	Middle James-Willis
02080206	Lower James
02080207	Appomattox
02080208	Hampton Roads
03	South Atlantic-Gulf
0301	Chowan-Roanoke
030101	Roanoke
03010101	Upper Roanoke
03010102	Middle Roanoke
03010103	Upper Dan
03010104	Lower Dan
03010105	Banister
03010106	Roanoke Rapids
03010107	Lower Roanoke
030102	Albemarle-Chowan
03010201	Nottoway
03010202	Blackwater
03010203	Chowan
03010204	Meherrin
03010205	Albemarle
0302	Neuse-Pamlico
030201	Pamlico
03020101	Upper Tar
03020102	Fishing
03020103	Lower Tar
03020104	Pamlico
03020105	Pamlico Sound
03020106	Bogue-Core Sounds
030202	Neuse
03020201	Upper Neuse
03020202	Middle Neuse
03020203	Contentnea
03020204	Lower Neuse
0303	Cape Fear
030300	Cape Fear
03030001	New
03030002	Haw
03030003	Deep
03030004	Upper Cape Fear
03030005	Lower Cape Fear
03030006	Black
03030007	Northeast Cape Fear
0304	Pee Dee
030401	Upper Pee Dee
03040101	Upper Yadkin
03040102	South Yadkin
03040103	Lower Yadkin
03040104	Upper Pee Dee
03040105	Rocky
030402	Lower Pee Dee
03040201	Lower Pee Dee
03040202	Lynches
03040203	Lumber
03040204	Little Pee Dee
03040205	Black
03040206	Waccamaw
03040207	Carolina Coastal-Sampit
0305	Edisto-Santee
030501	Santee
03050101	Upper Catawba
03050102	South Fork Catawba
03050103	Lower Catawba
03050104	Wateree
03050105	Upper Broad
03050106	Lower Broad
03050107	Tyger
03050108	Enoree
03050109	Saluda
03050110	Congaree
03050111	Lake Marion
03050112	Santee
030502	Edisto-South Carolina Coastal
03050201	Cooper
03050202	South Carolina Coastal
03050203	North Fork Edisto
03050204	South Fork Edisto
03050205	Edisto
03050206	Four Hole Swamp
03050207	Salkehatchie
03050208	Broad-St. Helena
0306	Ogeechee-Savannah
030601	Savannah
03060101	Seneca
03060102	Tugaloo
03060103	Upper Savannah
03060104	Broad
03060105	Little
03060106	Middle Savannah
03060107	Stevens
03060108	Brier
03060109	Lower Savannah
030602	Ogeechee
03060201	Upper Ogeechee
03060202	Lower Ogeechee
03060203	Canoochee
03060204	Ogeechee Coastal
0307	Altamaha - St. Marys
030701	Altamaha
03070101	Upper Oconee
03070102	Lower Oconee
03070103	Upper Ocmulgee
03070104	Lower Ocmulgee
03070105	Little Ocmulgee
03070106	Altamaha
03070107	Ohoopee
030702	St. Marys - Satilla
03070201	Satilla
03070202	Little Satilla
03070203	Cumberland-St. Simons
03070204	St. Marys
03070205	Nassau
0308	St. Johns
030801	St. Johns
03080101	Upper St. Johns
03080102	Oklawaha
03080103	Lower St. Johns
030802	East Florida Coastal
03080201	Daytona - St. Augustine
03080202	Cape Canaveral
03080203	Vero Beach
0309	Southern Florida
030901	Kissimmee
03090101	Kissimmee
03090102	Northern Okeechobee Inflow
03090103	Western Okeechobee Inflow
030902	Southern Florida
03090201	Lake Okeechobee
03090202	Everglades
03090203	Florida Bay-Florida Keys
03090204	Big Cypress Swamp
03090205	Caloosahatchee
0310	Peace-Tampa Bay
031001	Peace
03100101	Peace
03100102	Myakka
03100103	Charlotte Harbor
031002	Tampa Bay
03100201	Sarasota Bay
03100202	Manatee
03100203	Little Manatee
03100204	Alafia
03100205	Hillsborough
03100206	Tampa Bay
03100207	Crystal-Pithlachascotee
03100208	Withlacoochee
0311	Suwannee
031101	Aucilla-Waccasassa
03110101	Waccasassa
03110102	Econfina-Steinhatchee
03110103	Aucilla
031102	Suwannee
03110201	Upper Suwannee
03110202	Alapaha
03110203	withlacoochee
03110204	Little
03110205	Lower Suwannee
03110206	Santa Fe
0312	Ochlockonee
031200	Ochlockonee. Georgia
03120001	Apalachee Bay-St. Marks
03120002	Upper Ochlockonee
03120003	Lower Ochlockonee
0313	Apalachicola
031300	Apalachicola
03130001	Upper Chattahoochee
03130002	Middle Chattahoochee-Lake Harding
03130003	Middle Chattahoochee-Walter F. George Reservoir
03130004	Lower Chattahoochee
03130005	Upper Flint
03130006	Middle Flint
03130007	Kinchafoonee-Muckalee
03130008	Lower Flint
03130009	Ichawaynochaway
03130010	Spring
03130011	Apalachicola
03130012	Chipola
03130013	New
03130014	Apalachicola Bay
0314	Choctawhatchee - Escambia
031401	Florida Panhandle Coastal
03140101	St. Andrew-St. Joseph Bays
03140102	Choctawhatchee Bay
03140103	Yellow
03140104	Blackwater
03140105	Pensacola Bay
03140106	Perdido
03140107	Perdido Bay
031402	Choctawhatchee
03140201	Upper Choctawhatchee
03140202	Pea
03140203	Lower Choctawhatchee
031403	Escambia
03140301	Upper Conecuh
03140302	Patsaliga
03140303	Sepulga
03140304	Lower Conecuh
03140305	Escambia
0315	Alabama
031501	Coosa-Tallapoosa
03150101	Conasauga
03150102	Coosawattee
03150103	Oostanaula
03150104	Etowah
03150105	Upper Coosa
03150106	Middle Coosa
03150107	Lower Coosa
03150108	Upper Tallapoosa
03150109	Middle Tallapoosa
03150110	Lower Tallapoosa
031502	Alabama
03150201	Upper Alabama
03150202	Cahaba
03150203	Middle Alabama
03150204	Lower Alabama
0316	Mobile - Tombigbee
031601	Black Warrior - Tombigbee
03160101	Upper Tombigbee
03160102	Town
03160103	Buttahatchee
03160104	Tibbee
03160105	Luxapallila
03160106	Middle Tombigbee-Lubbub
03160107	Sipsey
03160108	Noxubee
03160109	Mulberry
03160110	Sipsey Fork
03160111	Locust
03160112	Upper Black Warrior
03160113	Lower Black Warrior
031602	Mobile Bay- Tombigbee
03160201	Middle Tombigbee-Chickasaw
03160202	Sucarnoochee
03160203	Lower Tombigbee
03160204	Mobile - Tensaw
03160205	Mobile Bay
0317	Pascagoula
031700	Pascagoula. Mississippi
03170001	Chunky-Okatibbee
03170002	Upper Chickasawhay
03170003	Lower Chickasawhay
03170004	Upper Leaf
03170005	Lower Leaf
03170006	Pascagoula
03170007	Black
03170008	Escatawpa
03170009	Mississippi Coastal
0318	Pearl
031800	Pearl
03180001	Upper Pearl
03180002	Middle Pearl-Strong
03180003	Middle Pearl-Silver
03180004	Lower Pearl. Mississippi
03180005	Bogue Chitto
04	Great Lakes
0401	Western Lake Superior
040101	Northwestern Lake Superior
04010101	Baptism-Brule
04010102	Beaver-Lester
040102	St. Louis
04010201	St. Louis
04010202	Cloquet
